stID;Time;Temperature;Humidity
B4:E6:2D:48:03:41;28.02.2026 19:28:51;23.8;34.8
B4:E6:2D:48:03:41;28.02.2026 19:28:52;23.8;34.8
B4:E6:2D:48:03:41;28.02.2026 19:28:56;23.9;34.8
B4:E6:2D:48:03:41;28.02.2026 19:29:00;23.9;34.7
B4:E6:2D:48:03:41;28.02.2026 19:29:01;23.9;34.7
B4:E6:2D:48:03:41;28.02.2026 19:29:05;23.9;34.6
B4:E6:2D:48:03:41;28.02.2026 19:29:08;24.0;34.6
B4:E6:2D:48:03:41;28.02.2026 19:29:09;24.0;34.6
B4:E6:2D:48:03:41;28.02.2026 19:29:13;24.0;34.6
B4:E6:2D:48:03:41;28.02.2026 19:29:17;24.0;34.6
B4:E6:2D:48:03:41;28.02.2026 19:29:18;24.0;34.6
B4:E6:2D:48:03:41;28.02.2026 19:29:22;24.0;34.5
B4:E6:2D:48:03:41;28.02.2026 19:29:25;24.0;34.5
B4:E6:2D:48:03:41;28.02.2026 19:29:27;24.0;34.5
B4:E6:2D:48:03:41;28.02.2026 19:29:30;24.1;34.4
B4:E6:2D:48:03:41;28.02.2026 19:29:34;24.1;34.4
B4:E6:2D:48:03:41;28.02.2026 19:29:35;24.1;34.4
B4:E6:2D:48:03:41;28.02.2026 19:29:39;24.1;34.4
B4:E6:2D:48:03:41;28.02.2026 19:29:43;24.2;34.4
B4:E6:2D:48:03:41;28.02.2026 19:29:44;24.2;34.4
B4:E6:2D:48:03:41;28.02.2026 19:29:48;24.2;34.4
B4:E6:2D:48:03:41;28.02.2026 19:29:51;24.2;34.3
B4:E6:2D:48:03:41;28.02.2026 19:29:53;24.2;34.3
B4:E6:2D:48:03:41;28.02.2026 19:29:56;24.2;34.2
B4:E6:2D:48:03:41;28.02.2026 19:30:00;24.2;34.2
B4:E6:2D:48:03:41;28.02.2026 19:30:01;24.2;34.2
B4:E6:2D:48:03:41;28.02.2026 19:30:05;24.2;34.1
B4:E6:2D:48:03:41;28.02.2026 19:30:09;24.3;34.1
B4:E6:2D:48:03:41;28.02.2026 19:30:10;24.3;34.1
B4:E6:2D:48:03:41;28.02.2026 19:30:14;24.3;34.0
B4:E6:2D:48:03:41;28.02.2026 19:30:17;24.3;34.0
B4:E6:2D:48:03:41;28.02.2026 19:30:19;24.3;34.0
B4:E6:2D:48:03:41;28.02.2026 19:30:22;24.3;34.0
B4:E6:2D:48:03:41;28.02.2026 19:30:26;24.3;34.0
B4:E6:2D:48:03:41;28.02.2026 19:30:27;24.3;34.0
B4:E6:2D:48:03:41;28.02.2026 19:30:31;24.3;34.0
B4:E6:2D:48:03:41;28.02.2026 19:30:35;24.3;34.0
B4:E6:2D:48:03:41;28.02.2026 19:30:36;24.3;34.0
B4:E6:2D:48:03:41;28.02.2026 19:30:40;24.3;33.9
B4:E6:2D:48:03:41;28.02.2026 19:30:43;24.3;33.9
B4:E6:2D:48:03:41;28.02.2026 19:30:45;24.3;33.9
B4:E6:2D:48:03:41;28.02.2026 19:30:48;24.3;33.8
B4:E6:2D:48:03:41;28.02.2026 19:30:52;24.3;33.9
B4:E6:2D:48:03:41;28.02.2026 19:30:53;24.3;33.9
B4:E6:2D:48:03:41;28.02.2026 19:30:57;24.3;33.8
B4:E6:2D:48:03:41;28.02.2026 19:31:01;24.3;33.8
B4:E6:2D:48:03:41;28.02.2026 19:31:03;24.3;33.8
